Year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
2008,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2004,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1998,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2007,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2005,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2008,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1989,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1995,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1995,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1999,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2006,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2014,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2000,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
1996,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2005,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1996,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2005,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2003,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1988,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2012,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2002,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1998,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2004,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2006,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2006,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2014,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2003,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2014,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2002,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2010,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1996,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
1992,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1998,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1995,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
2009,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2011,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1988,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2016,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1989,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2009,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2005,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1983,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2013,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2004,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1997,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
2004,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
2014,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
2007,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1989,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2004,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1999,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2001,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2003,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1993,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2008,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1997,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1984,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1997,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1998,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2005,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
2002,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1996,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2009,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2002,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1994,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1996,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1998,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1998,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1997,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2011,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2004,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
1988,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2001,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2000,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2000,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1987,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2006,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1997,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1998,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1982,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1990,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
